time,open,high,low,close,volume
2026-08-13 18:15:00+00:00,1.15382,1.15385,1.15364,1.15365,233
2026-08-13 18:16:00+00:00,1.15365,1.15382,1.15363,1.15379,155
2026-08-13 18:17:00+00:00,1.15379,1.15381,1.15367,1.15369,163
2026-08-13 18:18:00+00:00,1.15369,1.15369,1.1535199999999999,1.15353,180
2026-08-13 18:19:00+00:00,1.15353,1.15356,1.15345,1.15355,184
2026-08-13 18:20:00+00:00,1.15355,1.15361,1.15347,1.15357,224
2026-08-13 18:21:00+00:00,1.15357,1.15359,1.15349,1.15353,214
2026-08-13 18:22:00+00:00,1.15353,1.1536,1.1535,1.15353,215
2026-08-13 18:23:00+00:00,1.15353,1.15366,1.15353,1.15363,187
2026-08-13 18:24:00+00:00,1.15364,1.15374,1.15363,1.15369,217
2026-08-13 18:25:00+00:00,1.15371,1.1538,1.15362,1.15363,154
2026-08-13 18:26:00+00:00,1.15363,1.15385,1.15362,1.15379,216
2026-08-13 18:27:00+00:00,1.1538,1.15382,1.15365,1.15365,228
2026-08-13 18:28:00+00:00,1.15364,1.15375,1.15338,1.15345,287
2026-08-13 18:29:00+00:00,1.15345,1.15349,1.15327,1.15336,369
2026-08-13 18:30:00+00:00,1.15336,1.15345,1.15328,1.15337,323
2026-08-13 18:31:00+00:00,1.15337,1.15349,1.15337,1.15344,192
2026-08-13 18:32:00+00:00,1.15345,1.15349,1.15333,1.15338,135
2026-08-13 18:33:00+00:00,1.15338,1.15347,1.1533,1.15343,185
2026-08-13 18:34:00+00:00,1.15343,1.15344,1.1533,1.15333,205
2026-08-13 18:35:00+00:00,1.15333,1.15343,1.1532499999999999,1.15333,231
2026-08-13 18:36:00+00:00,1.15333,1.1535,1.1533,1.1534200000000001,134
2026-08-13 18:37:00+00:00,1.1534200000000001,1.1534200000000001,1.15334,1.1534,120
2026-08-13 18:38:00+00:00,1.1534,1.15348,1.15338,1.15345,155
2026-08-13 18:39:00+00:00,1.15345,1.15362,1.15344,1.15355,156
2026-08-13 18:40:00+00:00,1.15355,1.15366,1.15355,1.1536,163
2026-08-13 18:41:00+00:00,1.1536,1.15361,1.1535199999999999,1.15354,123
2026-08-13 18:42:00+00:00,1.15353,1.1536,1.1533,1.15334,211
2026-08-13 18:43:00+00:00,1.15334,1.1534200000000001,1.15331,1.15333,149
2026-08-13 18:44:00+00:00,1.15333,1.15335,1.15328,1.15328,138
2026-08-13 18:45:00+00:00,1.15328,1.15347,1.15328,1.1534200000000001,190
2026-08-13 18:46:00+00:00,1.1534200000000001,1.15345,1.15337,1.15345,126
2026-08-13 18:47:00+00:00,1.15345,1.15347,1.15339,1.15343,112
2026-08-13 18:48:00+00:00,1.15343,1.15349,1.15334,1.15337,152
2026-08-13 18:49:00+00:00,1.15338,1.15346,1.15337,1.1534,151
2026-08-13 18:50:00+00:00,1.1534,1.1534200000000001,1.15327,1.15333,144
2026-08-13 18:51:00+00:00,1.15333,1.15337,1.1532499999999999,1.15329,88
2026-08-13 18:52:00+00:00,1.15328,1.1533,1.15314,1.1532,156
2026-08-13 18:53:00+00:00,1.15321,1.1533,1.15318,1.1532,123
2026-08-13 18:54:00+00:00,1.1532,1.1532,1.1531,1.1531,65
2026-08-13 18:55:00+00:00,1.15312,1.15316,1.15307,1.1531500000000001,171
2026-08-13 18:56:00+00:00,1.1531500000000001,1.15321,1.15312,1.15319,169
2026-08-13 18:57:00+00:00,1.15319,1.15323,1.15314,1.1531500000000001,147
2026-08-13 18:58:00+00:00,1.15316,1.15318,1.15303,1.15304,110
2026-08-13 18:59:00+00:00,1.15304,1.15307,1.15301,1.15306,84
2026-08-13 19:00:00+00:00,1.15306,1.1531,1.15303,1.15306,153
2026-08-13 19:01:00+00:00,1.15306,1.15312,1.15299,1.153,148
