time,open,high,low,close,volume
2026-08-13 18:15:00+00:00,0.85449,0.85453,0.85445,0.85449,67
2026-08-13 18:16:00+00:00,0.85448,0.85458,0.85448,0.85457,75
2026-08-13 18:17:00+00:00,0.85457,0.85457,0.85451,0.85456,49
2026-08-13 18:18:00+00:00,0.85456,0.85456,0.85448,0.85451,57
2026-08-13 18:19:00+00:00,0.85451,0.8546,0.85451,0.85459,85
2026-08-13 18:20:00+00:00,0.85459,0.85466,0.85456,0.85465,63
2026-08-13 18:21:00+00:00,0.85465,0.85465,0.8546,0.8546,61
2026-08-13 18:22:00+00:00,0.8546,0.85462,0.85457,0.85457,57
2026-08-13 18:23:00+00:00,0.85457,0.85461,0.85457,0.85458,66
2026-08-13 18:24:00+00:00,0.85458,0.85463,0.85458,0.85461,66
2026-08-13 18:25:00+00:00,0.85461,0.85462,0.85457,0.85459,73
2026-08-13 18:26:00+00:00,0.85459,0.85462,0.85456,0.85457,58
2026-08-13 18:27:00+00:00,0.85457,0.85457,0.85451,0.85455,77
2026-08-13 18:28:00+00:00,0.85454,0.85457,0.85449,0.85455,90
2026-08-13 18:29:00+00:00,0.85455,0.85458,0.85454,0.85456,88
2026-08-13 18:30:00+00:00,0.85456,0.85458,0.85451,0.85451,131
2026-08-13 18:31:00+00:00,0.85451,0.85455,0.85449,0.85455,54
2026-08-13 18:32:00+00:00,0.85455,0.85456,0.8545,0.85451,34
2026-08-13 18:33:00+00:00,0.85451,0.85458,0.8545,0.85453,74
2026-08-13 18:34:00+00:00,0.85453,0.8546,0.85452,0.85456,98
2026-08-13 18:35:00+00:00,0.85456,0.8546,0.85453,0.85459,100
2026-08-13 18:36:00+00:00,0.85459,0.85459,0.85454,0.85456,65
2026-08-13 18:37:00+00:00,0.85456,0.85458,0.85454,0.85456,37
2026-08-13 18:38:00+00:00,0.85456,0.85464,0.85455,0.8546,54
2026-08-13 18:39:00+00:00,0.85461,0.85463,0.85458,0.85461,31
2026-08-13 18:40:00+00:00,0.85461,0.85466,0.85459,0.85464,64
2026-08-13 18:41:00+00:00,0.85464,0.85465,0.85459,0.85459,65
2026-08-13 18:42:00+00:00,0.85459,0.8546,0.85455,0.85455,75
2026-08-13 18:43:00+00:00,0.85455,0.85459,0.85455,0.85457,96
2026-08-13 18:44:00+00:00,0.85456,0.8546,0.85455,0.8546,39
2026-08-13 18:45:00+00:00,0.8546,0.85464,0.8546,0.85461,115
2026-08-13 18:46:00+00:00,0.85461,0.85462,0.85455,0.85457,41
2026-08-13 18:47:00+00:00,0.85457,0.85461,0.85457,0.85459,25
2026-08-13 18:48:00+00:00,0.85459,0.85459,0.85456,0.85458,53
2026-08-13 18:49:00+00:00,0.85458,0.85459,0.85453,0.85453,61
2026-08-13 18:50:00+00:00,0.85453,0.85457,0.85452,0.85457,74
2026-08-13 18:51:00+00:00,0.85457,0.85459,0.85454,0.85457,65
2026-08-13 18:52:00+00:00,0.85457,0.8546,0.85452,0.85452,86
2026-08-13 18:53:00+00:00,0.85453,0.85455,0.85446,0.85446,56
2026-08-13 18:54:00+00:00,0.85446,0.85448,0.85443,0.85447,39
2026-08-13 18:55:00+00:00,0.85447,0.85448,0.85442,0.85444,58
2026-08-13 18:56:00+00:00,0.85444,0.85447,0.85443,0.85447,34
2026-08-13 18:57:00+00:00,0.85447,0.85447,0.85439,0.85441,46
2026-08-13 18:58:00+00:00,0.8544,0.8544,0.85437,0.85439,58
2026-08-13 18:59:00+00:00,0.85439,0.8544,0.85435,0.85438,32
2026-08-13 19:00:00+00:00,0.85438,0.85441,0.85436,0.85441,60
2026-08-13 19:01:00+00:00,0.85441,0.85446,0.8544,0.85445,53
2026-08-13 19:02:00+00:00,0.85445,0.85446,0.85441,0.85441,36
2026-08-13 19:03:00+00:00,0.85441,0.85441,0.85439,0.85439,37
2026-08-13 19:04:00+00:00,0.85439,0.8545,0.85439,0.85449,61
2026-08-13 19:05:00+00:00,0.85449,0.85451,0.85448,0.85451,54
2026-08-13 19:06:00+00:00,0.85451,0.85458,0.85451,0.85455,48
2026-08-13 19:07:00+00:00,0.85455,0.85458,0.85454,0.85457,31
2026-08-13 19:08:00+00:00,0.85457,0.85462,0.85456,0.85459,35
2026-08-13 19:09:00+00:00,0.8546,0.85468,0.8546,0.85464,69
2026-08-13 19:10:00+00:00,0.85464,0.85469,0.85464,0.85467,73
2026-08-13 19:11:00+00:00,0.85467,0.8547,0.85463,0.85469,47
2026-08-13 19:12:00+00:00,0.85469,0.85471,0.85466,0.8547,64
2026-08-13 19:13:00+00:00,0.8547,0.85474,0.85469,0.85469,53
2026-08-13 19:14:00+00:00,0.85469,0.8547,0.85464,0.85468,66
2026-08-13 19:15:00+00:00,0.85468,0.8547,0.85467,0.85467,54
2026-08-13 19:16:00+00:00,0.85467,0.85467,0.85463,0.85465,28
2026-08-13 19:17:00+00:00,0.85465,0.85466,0.85462,0.85464,20
2026-08-13 19:18:00+00:00,0.85463,0.85472,0.85462,0.85471,33
2026-08-13 19:19:00+00:00,0.85471,0.85471,0.85465,0.85466,67
2026-08-13 19:20:00+00:00,0.85466,0.85475,0.85466,0.8547,67
2026-08-13 19:21:00+00:00,0.8547,0.85472,0.85465,0.85467,40
2026-08-13 19:22:00+00:00,0.85467,0.85477,0.85467,0.85476,44
2026-08-13 19:23:00+00:00,0.85476,0.85479,0.85475,0.85477,35
2026-08-13 19:24:00+00:00,0.85477,0.85479,0.85473,0.85473,63
2026-08-13 19:25:00+00:00,0.85474,0.85475,0.85469,0.85471,52
2026-08-13 19:26:00+00:00,0.85471,0.85472,0.85469,0.8547,54
2026-08-13 19:27:00+00:00,0.8547,0.85473,0.85469,0.85472,21
