family,timeframe,max_hold_bars,cafb_htf_adx_min,hale_round_grid,hale_impulse_bars,hale_impulse_atr,hale_contraction_ratio,hale_level_atr,hale_stop_buffer_atr,hale_target_r,hale_pullback_bars,hale_pullback_near_atr,score,dev_start_utc,dev_end_utc,dev_span_days,dev_trades,dev_trades_per_day,dev_win_rate,dev_win_ci_low,dev_win_ci_high,dev_expectancy_r,dev_profit_factor,dev_max_drawdown_pct,dev_start_equity,dev_end_equity,dev_net_pnl,dev_profit_per_day,dev_halt_reason,dev_ambiguous_exits,dev_skipped_entries,dev_per_symbol_pnl,val_start_utc,val_end_utc,val_span_days,val_trades,val_trades_per_day,val_win_rate,val_win_ci_low,val_win_ci_high,val_expectancy_r,val_profit_factor,val_max_drawdown_pct,val_start_equity,val_end_equity,val_net_pnl,val_profit_per_day,val_halt_reason,val_ambiguous_exits,val_skipped_entries,val_per_symbol_pnl
fade,5m,6,15,0.005,3,0.75,0.5,0.5,0.25,0.8,2,0.75,-1000000000.0,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,18,0.3644800674963088,38.88888888888889,20.304991926931162,61.381331419343844,-0.30524983580399145,0.3642808450640397,9.61149438737089,100.0,92.4993716372769,-7.500628362723118,-0.15187941843944724,none,0,"{""sized_down"": 7}","{""AUDUSD=X"": -4.350825, ""EURUSD=X"": -1.864567, ""GBPUSD=X"": -0.443881, ""NZDUSD=X"": -0.841355}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,2,0.12678846577151662,100.0,34.23719528896193,100.0,0.26233001119320287,inf,0.0,100.0,100.90440323386863,0.9044032338686401,0.05733394923050151,none,0,{},"{""AUDUSD=X"": 0.062219, ""NZDUSD=X"": 0.842184}"
fade,5m,6,15,0.005,3,0.75,0.5,0.5,0.25,1.2,2,0.75,-1000000000.0,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,21,0.4252267454123603,42.857142857142854,24.469699486521044,63.453783702967534,-0.20989421617727616,0.5470751369291191,8.330910858174214,100.0,94.05663080521933,-5.94336919478069,-0.12034664473717491,none,0,"{""sized_down"": 10}","{""AUDUSD=X"": -4.818036, ""EURUSD=X"": -1.864567, ""GBPUSD=X"": 1.696946, ""NZDUSD=X"": -0.957712}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,3,0.19018269865727494,100.0,43.84939195509823,100.0,0.5068854905508461,inf,0.0,100.0,101.99519839252717,1.9951983925271841,0.12648407154915894,none,0,"{""sized_down"": 1}","{""AUDUSD=X"": 0.062219, ""EURUSD=X"": 0.406021, ""NZDUSD=X"": 1.526959}"
fade,5m,6,15,0.005,3,0.75,0.8,0.2,0.1,0.5,2,0.75,-1000000000.0,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,2,0.040497785277367644,100.0,34.23719528896193,100.0,0.26494857517614234,inf,0.0,100.0,100.93481535077095,0.9348153507709505,0.018928975674754534,none,0,{},"{""GBPUSD=X"": 0.309575, ""NZDUSD=X"": 0.62524}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,none,0,{},{}
fade,5m,6,15,0.005,3,0.75,0.8,0.2,0.1,0.8,2,0.75,-1000000000.0,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,6,0.12149335583210294,66.66666666666666,29.998832134152863,90.3230667440783,0.03059272231658412,1.6027676904921304,1.543910298407808,100.0,101.11229971579176,1.1122997157917627,0.022522837527105932,none,0,"{""sized_down"": 4}","{""GBPUSD=X"": 1.066618, ""NZDUSD=X"": 0.045682}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,none,0,{},{}
fade,5m,6,15,0.005,3,0.75,0.8,0.2,0.1,1.2,2,0.75,-1000000000.0,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,7,0.14174224847078676,71.42857142857143,35.892909014821264,91.77828342909844,0.24495370215443368,2.500597987467396,1.5262729067925898,100.0,102.7690845765388,2.7690845765388055,0.056070896297769526,none,0,"{""sized_down"": 5}","{""GBPUSD=X"": 2.535798, ""NZDUSD=X"": 0.233287}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,none,0,{},{}
fade,5m,6,15,0.005,3,0.75,0.8,0.2,0.25,0.5,2,0.75,-1000000000.0,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,2,0.040497785277367644,100.0,34.23719528896193,100.0,0.2817576556819181,inf,0.0,100.0,101.05321252703622,1.053212527036223,0.02132638738567336,none,0,{},"{""GBPUSD=X"": 0.38358, ""NZDUSD=X"": 0.669633}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,none,0,{},{}
fade,5m,6,15,0.005,3,0.75,0.8,0.2,0.25,0.8,2,0.75,-1000000000.0,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,6,0.12149335583210294,66.66666666666666,29.998832134152863,90.3230667440783,0.057751952433851415,1.6574299342617098,1.6724816450901139,100.0,101.30260525533201,1.3026052553320102,0.026376313965803203,none,0,"{""sized_down"": 3}","{""GBPUSD=X"": 1.268735, ""NZDUSD=X"": 0.033871}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,none,0,{},{}
fade,5m,6,15,0.005,3,0.75,0.8,0.2,0.25,1.2,2,0.75,-1000000000.0,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,7,0.14174224847078676,71.42857142857143,35.892909014821264,91.77828342909844,0.25521707192660176,2.4848415147895744,1.6509583983206264,100.0,102.94200531448587,2.942005314485863,0.05957234975546148,none,0,"{""sized_down"": 4}","{""GBPUSD=X"": 2.96394, ""NZDUSD=X"": -0.021935}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,none,0,{},{}
fade,5m,6,15,0.005,3,0.75,0.8,0.5,0.1,0.5,2,0.75,-1000000000.0,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,10,0.20248892638683824,40.0,16.817758120350966,68.73304525498135,-0.40157261883375045,0.19922127806357104,6.354785731535706,100.0,94.00958981122233,-5.990410188777677,-0.12129917277423687,none,0,{},"{""AUDUSD=X"": -4.67378, ""EURUSD=X"": -1.772549, ""GBPUSD=X"": 0.714399, ""NZDUSD=X"": -0.25848}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,3,0.19018269865727494,100.0,43.84939195509823,100.0,0.22227740465953272,inf,0.0,100.0,101.165347206082,1.1653472060820056,0.07387629217513045,none,0,"{""sized_down"": 1}","{""AUDUSD=X"": 0.529783, ""NZDUSD=X"": 0.635564}"
fade,5m,6,15,0.005,3,0.75,0.8,0.5,0.1,0.8,2,0.75,-1000000000.0,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,20,0.4049778527736765,40.0,21.880396741419272,61.342205768479396,-0.35327631218043737,0.332643807070892,9.220725954771112,100.0,91.12799774629723,-8.87200225370278,-0.1796482211253885,none,0,"{""sized_down"": 9}","{""AUDUSD=X"": -3.578238, ""EURUSD=X"": -1.772549, ""GBPUSD=X"": -0.537852, ""NZDUSD=X"": -2.983363}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,3,0.19018269865727494,100.0,43.84939195509823,100.0,0.26372868107974773,inf,0.0,100.0,101.32660501803676,1.326605018036757,0.08409910746083778,none,0,"{""sized_down"": 1}","{""AUDUSD=X"": 0.062219, ""NZDUSD=X"": 1.264386}"
