algo,risk,sl,tp,adx_max,os,ob,mt,wr,p_act,cov,mean_a,mean_day,med_day,p_day50,p_day_pos,best_day,worst_day,n_days,n_act,n_trades
hw_range,5.0,8.0,0.6,40,30,70,1,0.8958333333333334,0.8958333333333334,0.14545454545454545,-0.32863118299051575,-0.5258098927848252,0.06291692009752126,0.0,0.6,0.26232508079976924,-7.704734361117673,30,48,48
hw_range,10.0,8.0,0.6,40,30,70,1,0.8958333333333334,0.8958333333333334,0.14545454545454545,-0.6572623659810315,-1.0516197855696503,0.1258338401950425,0.0,0.6,0.5246501615995527,-15.409468722235346,30,48,48
hw_range,20.0,8.0,0.6,40,30,70,1,0.8958333333333334,0.8958333333333334,0.14545454545454545,-1.3145247319620645,-2.1032395711393033,0.251667680390085,0.0,0.6,1.0493003231990627,-30.818937444470677,30,48,48
hw_range,35.0,8.0,0.6,40,30,70,1,0.8958333333333334,0.8958333333333334,0.14545454545454545,-2.300418280933611,-3.6806692494937776,0.4404184406826488,0.0,0.6,1.8362755655983847,-53.93314052782367,30,48,48
hw_range,5.0,5.0,0.35,99,35,65,1,0.8709677419354839,0.8709677419354839,0.09393939393939393,-0.34693691212900085,-0.3585014758666342,0.0,0.0,0.43333333333333335,0.23006882611483093,-5.3499103430694674,30,31,31
hw_range,5.0,4.0,0.4,99,30,70,1,0.8709677419354839,0.8709677419354839,0.09393939393939393,-0.4921294724754101,-0.5085337882245905,0.0,0.0,0.4666666666666667,0.484550724294337,-5.478333907248825,30,31,31
hw_range,10.0,5.0,0.35,99,35,65,1,0.8709677419354839,0.8709677419354839,0.09393939393939393,-0.6938738242580039,-0.7170029517332708,0.0,0.0,0.43333333333333335,0.46013765222966185,-10.699820686138949,30,31,31
hw_range,10.0,4.0,0.4,99,30,70,1,0.8709677419354839,0.8709677419354839,0.09393939393939393,-0.9842589449508198,-1.0170675764491803,0.0,0.0,0.4666666666666667,0.969101448588674,-10.956667814497663,30,31,31
hw_range,20.0,5.0,0.35,99,35,65,1,0.8709677419354839,0.8709677419354839,0.09393939393939393,-1.3877476485160047,-1.4340059034665382,0.0,0.0,0.43333333333333335,0.9202753044593379,-21.399641372277898,30,31,31
hw_range,20.0,4.0,0.4,99,30,70,1,0.8709677419354839,0.8709677419354839,0.09393939393939393,-1.9685178899016396,-2.0341351528983607,0.0,0.0,0.4666666666666667,1.9382028971773337,-21.9133356289953,30,31,31
hw_range,35.0,5.0,0.35,99,35,65,1,0.8709677419354839,0.8709677419354839,0.09393939393939393,-2.4285583849030097,-2.5095103310664437,0.0,0.0,0.43333333333333335,1.6104817828038307,-37.449372401486315,30,31,31
hw_range,35.0,4.0,0.4,99,30,70,1,0.8709677419354839,0.8709677419354839,0.09393939393939393,-3.4449063073278703,-3.5597365175721323,0.0,0.0,0.4666666666666667,3.3918550700603447,-38.34833735074179,30,31,31
hw_range,5.0,5.0,0.35,99,30,70,1,0.8695652173913043,0.8695652173913043,0.0696969696969697,-0.27150815636375114,-0.2081562532122092,0.0,0.0,0.4,0.23006882611483093,-5.3499103430694674,30,23,23
