entry_time,exit_time,side,mode,reason,entry,exit,pnl,r,outcome
2026-07-08 01:30:00+00:00,2026-07-08 01:35:00+00:00,buy,scalp,scalper_2h_long,63386.16015625,63233.2451171875,-18.73066929782546,-1.0,sl
2026-07-08 01:35:00+00:00,2026-07-08 01:40:00+00:00,buy,scalp,scalper_2h_long,63299.23828125,63151.16685267857,-15.317173015183446,-1.0,sl
2026-07-08 01:40:00+00:00,2026-07-08 02:05:00+00:00,buy,scalp,scalper_2h_long,62979.890625,62796.690150669645,-11.933371704855261,-1.0,sl
2026-07-08 02:05:00+00:00,2026-07-08 02:30:00+00:00,buy,scalp,scalper_2h_long,62895.3984375,62690.77483258928,-9.597161505451519,-1.0,sl
2026-07-08 02:35:00+00:00,2026-07-08 02:45:00+00:00,buy,scalp,scalper_2h_long,62681.1796875,62990.29631696428,7.803412555941977,1.333333333333302,tp
2026-07-08 03:50:00+00:00,2026-07-08 03:55:00+00:00,buy,scalp,scalper_2h_long,62852.30859375,62713.79045758928,-9.966485471269312,-1.0,sl
2026-07-08 03:55:00+00:00,2026-07-08 04:20:00+00:00,buy,scalp,scalper_2h_long,62663.23046875,62844.53236607143,6.6990155672824026,1.3333333333333155,tp
2026-07-08 05:40:00+00:00,2026-07-08 06:20:00+00:00,buy,scalp,scalper_2h_long,62613.51171875,62484.630161830355,-9.484255301357189,-1.0,sl
2026-07-08 06:20:00+00:00,2026-07-08 06:35:00+00:00,buy,scalp,scalper_2h_long,62531.98828125,62425.988002232145,-8.016755602209154,-1.0,sl
2026-07-08 06:40:00+00:00,2026-07-08 06:50:00+00:00,buy,scalp,scalper_2h_long,62467.98828125,62639.42912946428,4.9158902952671575,1.3333333333332766,tp
2026-07-08 06:55:00+00:00,2026-07-08 07:30:00+00:00,sell,scalp,scalper_2h_short,62658.421875,62786.312779017855,-7.059684000519849,-1.0,sl
2026-07-08 07:30:00+00:00,2026-07-08 08:15:00+00:00,sell,scalp,scalper_2h_short,62755.69921875,62562.614955357145,4.7192943995652294,1.3333333333332997,tp
2026-07-08 08:20:00+00:00,2026-07-08 08:25:00+00:00,buy,scalp,scalper_2h_long,62426.3984375,62259.06138392857,-6.24744182180952,-1.0,sl
2026-07-08 08:25:00+00:00,2026-07-08 08:30:00+00:00,buy,scalp,scalper_2h_long,62160.01171875,61973.87444196428,-5.002765618507959,-1.0,sl
2026-07-08 08:30:00+00:00,2026-07-08 08:40:00+00:00,buy,scalp,scalper_2h_long,62014.87890625,61820.265625,-4.070640987217779,-1.0,sl
2026-07-08 08:40:00+00:00,2026-07-08 08:45:00+00:00,buy,scalp,scalper_2h_long,61922.01171875,62222.19029017857,3.279063131296382,1.3333333333333441,tp
