symbol,tp_pips,sl_pips,trades,wr,exp_usd,pnl_usd,spread,rt_usd,tp_usd,pip_usd,bars
AUDHKD,2,40,2354,94.14,-0.0059,-13.87,0.0,0.0,0.0255,0.0127,14410
NOKDKK,1,20,642,94.08,-0.0037,-2.41,0.0,0.0,0.0154,0.0154,14410
NZDDKK,2,40,1284,94.08,-0.0075,-9.62,0.0,0.0,0.0308,0.0154,14410
EURNZD,2,40,354,94.07,-0.0288,-10.19,0.0,0.0,0.1172,0.0586,14410
GBPCHF,1,20,488,94.06,-0.0305,-14.87,0.0,0.0,0.1229,0.1229,14410
PLNJPY,2,30,134,94.03,0.0056,0.75,0.0,0.0,0.1255,0.0627,14410
EURDKK,1,30,67,94.03,-0.0131,-0.88,0.0,0.0,0.0154,0.0154,14410
EURPLN,1,30,1339,94.03,-0.0228,-30.53,0.0,0.0,0.0268,0.0268,14410
USDSGD,2,40,67,94.03,-0.0396,-2.66,7.00000000000145e-05,0.0547,0.1562,0.0781,14410
GBPSGD,2,30,300,94.0,0.0062,1.87,0.0,0.0,0.1562,0.0781,14410
GBPNZD,2,30,816,94.0,0.0046,3.75,0.0,0.0,0.1172,0.0586,14410
CNHJPY,2,40,50,94.0,-0.0326,-1.63,0.0,0.0,0.1255,0.0627,14410
NOKDKK,2,40,199,93.97,-0.0082,-1.63,0.0,0.0,0.0308,0.0154,14410
EURSGD,1,30,215,93.95,-0.0683,-14.68,0.0,0.0,0.0781,0.0781,14410
XAGUSD,2,30,2311,93.94,0.0031,7.1,0.0,0.0,0.1,0.05,14410
NZDSEK,2,40,2675,93.91,-0.0058,-15.6,0.0,0.0,0.0209,0.0104,14410
EURHUF,1,30,3021,93.91,-0.0281,-84.89,0.0,0.0,0.0316,0.0316,14410
USDCHF,1,30,294,93.88,-0.1104,-32.45,1.999999999990898e-05,0.0246,0.1229,0.1229,14410
DKKSEK,2,40,387,93.8,-0.0063,-2.44,0.0,0.0,0.0209,0.0104,14410
EURNZD,1,20,1257,93.79,-0.0178,-22.32,0.0,0.0,0.0586,0.0586,14410
EURJPY,1,30,983,93.79,-0.0579,-56.96,0.003999999999990678,0.0251,0.0627,0.0627,14410
EURCAD,2,30,224,93.75,-0.0,-0.0,0.0,0.0,0.1435,0.0717,14410
GBPSGD,1,20,656,93.75,-0.0244,-16.01,0.0,0.0,0.0781,0.0781,14410
GBPSGD,2,40,223,93.72,-0.0497,-11.09,0.0,0.0,0.1562,0.0781,14410
USDCHF,1,20,476,93.7,-0.0398,-18.93,1.999999999990898e-05,0.0246,0.1229,0.1229,14410
DKKSEK,1,20,935,93.69,-0.0034,-3.17,0.0,0.0,0.0104,0.0104,14410
XAGEUR,2,40,1355,93.65,-0.0767,-103.96,0.0,0.0,0.2305,0.1153,14410
EURCNH,2,40,2050,93.61,-0.0101,-20.78,0.0,0.0,0.0296,0.0148,14410
AUDCHF,1,20,171,93.57,-0.0431,-7.37,0.0,0.0,0.1229,0.1229,14410
USDINR,2,30,108,93.52,-0.0077,-0.84,0.016999999999995907,0.1778,0.2092,0.1046,14410
AUDPLN,1,20,2000,93.5,-0.0098,-19.53,0.0,0.0,0.0268,0.0268,14410
CHFSGD,1,20,1031,93.5,-0.0285,-29.37,0.0,0.0,0.0781,0.0781,14410
NOKDKK,1,30,445,93.48,-0.0157,-7.0,0.0,0.0,0.0154,0.0154,14410
CHFPLN,1,30,3056,93.46,-0.0275,-84.13,0.0,0.0,0.0268,0.0268,14410
NZDUSD,2,40,61,93.44,-0.0754,-4.6,2.0000000000020002e-05,0.02,0.2,0.1,14410
USDSGD,1,30,151,93.38,-0.0822,-12.42,7.00000000000145e-05,0.0547,0.0781,0.0781,14410
CADPLN,1,30,2835,93.37,-0.0283,-80.09,0.0,0.0,0.0268,0.0268,14410
AUDCHF,1,30,90,93.33,-0.1311,-11.8,0.0,0.0,0.1229,0.1229,14410
AUDDKK,2,30,1767,93.32,-0.0021,-3.73,0.0,0.0,0.0308,0.0154,14410
CADJPY,2,40,415,93.25,-0.0523,-21.71,0.0,0.0,0.1255,0.0627,14410
CADCHF,2,30,74,93.24,-0.0199,-1.47,0.0,0.0,0.2458,0.1229,14410
XAGEUR,2,30,1668,93.23,-0.0193,-32.27,0.0,0.0,0.2305,0.1153,14410
CNHJPY,2,30,59,93.22,-0.0106,-0.63,0.0,0.0,0.1255,0.0627,14410
CADJPY,1,20,1018,93.12,-0.0279,-28.36,0.0,0.0,0.0627,0.0627,14410
USDCAD,2,30,158,93.04,-0.0163,-2.58,1.999999999990898e-05,0.0143,0.1435,0.0717,14410
NZDDKK,2,30,1558,93.0,-0.0037,-5.74,0.0,0.0,0.0308,0.0154,14410
AUDSEK,2,40,3276,92.98,-0.0099,-32.41,0.0,0.0,0.0209,0.0104,14410
NZDDKK,1,20,2797,92.89,-0.0076,-21.31,0.0,0.0,0.0154,0.0154,14410
CHFJPY,2,40,702,92.88,-0.0622,-43.66,0.0,0.0,0.1255,0.0627,14410
HKDJPY,2,30,42,92.86,-0.0179,-0.75,0.0,0.0,0.1255,0.0627,14410
SEKJPY,1,30,42,92.86,-0.0762,-3.2,0.0,0.0,0.0627,0.0627,14410
CADJPY,2,30,500,92.8,-0.0191,-9.54,0.0,0.0,0.1255,0.0627,14410
CADNOK,1,30,4741,92.79,-0.013,-61.7,0.0,0.0,0.0105,0.0105,14410
EURSGD,1,20,333,92.79,-0.0401,-13.36,0.0,0.0,0.0781,0.0781,14410
CADSGD,1,20,277,92.78,-0.0403,-11.17,0.0,0.0,0.0781,0.0781,14410
CHFJPY,1,20,1875,92.75,-0.0328,-61.54,0.0,0.0,0.0627,0.0627,14410
EURCHF,2,40,55,92.73,-0.1296,-7.13,0.0,0.0,0.2458,0.1229,14410
EURPLN,2,40,629,92.69,-0.0287,-18.04,0.0,0.0,0.0535,0.0268,14410
GBPAUD,2,30,394,92.64,-0.0251,-9.89,0.0,0.0,0.1412,0.0706,14410
AUDSGD,2,20,217,92.63,0.0295,6.4,0.0,0.0,0.1562,0.0781,14410
AUDPLN,2,30,1004,92.63,-0.0096,-9.63,0.0,0.0,0.0535,0.0268,14410
EURJPY,2,40,610,92.62,-0.0689,-42.03,0.003999999999990678,0.0251,0.1255,0.0627,14410
CHFDKK,2,30,2591,92.59,-0.0057,-14.83,0.0,0.0,0.0308,0.0154,14410
XAUEUR,2,30,5901,92.58,-0.0432,-255.18,0.0,0.0,0.2305,0.1153,14410
AUDNOK,2,40,3696,92.53,-0.012,-44.22,0.0,0.0,0.0211,0.0105,14410
USDCHF,2,30,174,92.53,-0.048,-8.36,1.999999999990898e-05,0.0246,0.2458,0.1229,14410
EURCHF,1,20,227,92.51,-0.0704,-15.98,0.0,0.0,0.1229,0.1229,14410
NOKJPY,2,30,40,92.5,-0.0251,-1.0,0.0,0.0,0.1255,0.0627,14410
GBPJPY,1,30,1226,92.5,-0.0832,-102.0,0.008000000000009777,0.0502,0.0627,0.0627,14410
EURAUD,3,30,173,92.49,0.0367,6.36,0.0,0.0,0.2119,0.0706,14410
CHFDKK,1,20,4058,92.46,-0.009,-36.51,0.0,0.0,0.0154,0.0154,14410
EURCAD,3,30,159,92.45,0.0365,5.81,0.0,0.0,0.2152,0.0717,14410
AUDUSD,2,30,119,92.44,-0.042,-5.0,2.0000000000020002e-05,0.02,0.2,0.1,14410
USDSGD,1,20,264,92.42,-0.0462,-12.18,7.00000000000145e-05,0.0547,0.0781,0.0781,14410
AUDNZD,2,30,145,92.41,-0.025,-3.63,0.0,0.0,0.1172,0.0586,14410
AUDSEK,1,30,4458,92.4,-0.0142,-63.1,0.0,0.0,0.0104,0.0104,14410
CHFPLN,2,40,1721,92.39,-0.032,-55.13,0.0,0.0,0.0535,0.0268,14410
GBPCAD,3,30,223,92.38,0.0347,7.75,0.0,0.0,0.2152,0.0717,14410
EURCNH,1,20,4058,92.36,-0.009,-36.35,0.0,0.0,0.0148,0.0148,14410
SEKNOK,1,30,1124,92.35,-0.0144,-16.23,0.0,0.0,0.0105,0.0105,14410
AUDHKD,2,30,2795,92.34,-0.0057,-16.03,0.0,0.0,0.0255,0.0127,14410
AUDHKD,1,20,4244,92.34,-0.0078,-32.89,0.0,0.0,0.0127,0.0127,14410
CNHJPY,1,20,104,92.31,-0.0386,-4.01,0.0,0.0,0.0627,0.0627,14410
EURCHF,2,30,78,92.31,-0.0567,-4.43,0.0,0.0,0.2458,0.1229,14410
XAGUSD,3,30,1836,92.27,0.0224,41.1,0.0,0.0,0.15,0.05,14410
XAUUSD,2,40,5540,92.26,-0.0125,-69.38,0.0,0.0,0.02,0.01,14410
AUDSGD,2,30,155,92.26,-0.0373,-5.78,0.0,0.0,0.1562,0.0781,14410
GBPSGD,3,30,206,92.23,0.0341,7.03,0.0,0.0,0.2343,0.0781,14410
CADNOK,2,40,3343,92.22,-0.0133,-44.57,0.0,0.0,0.0211,0.0105,14410
AUDJPY,1,20,1038,92.2,-0.0401,-41.59,0.0,0.0,0.0627,0.0627,14410
EURSEK,1,30,5030,92.15,-0.015,-75.25,0.0,0.0,0.0104,0.0104,14410
CADPLN,2,40,1825,92.05,-0.0358,-65.29,0.0,0.0,0.0535,0.0268,14410
GBPHKD,1,30,4809,91.99,-0.0189,-90.81,0.0,0.0,0.0127,0.0127,14410
GBPCHF,3,30,112,91.96,0.0428,4.79,0.0,0.0,0.3688,0.1229,14410
DKKSEK,2,30,471,91.93,-0.0061,-2.86,0.0,0.0,0.0209,0.0104,14410
GBPNZD,3,30,556,91.91,0.0193,10.72,0.0,0.0,0.1757,0.0586,14410
EURCNH,2,30,2543,91.9,-0.0088,-22.32,0.0,0.0,0.0296,0.0148,14410
EURHUF,2,40,1871,91.88,-0.0447,-83.6,0.0,0.0,0.0633,0.0316,14410
NOKSEK,1,30,721,91.82,-0.016,-11.56,0.0,0.0,0.0104,0.0104,14410
EURCAD,2,20,316,91.77,0.0136,4.3,0.0,0.0,0.1435,0.0717,14410
EURCHF,3,30,60,91.67,0.0307,1.84,0.0,0.0,0.3688,0.1229,14410
CADMXN,2,40,4934,91.67,-0.0088,-43.33,0.0,0.0,0.0117,0.0059,14410
EURUSD,2,30,132,91.67,-0.0667,-8.8,9.999999999843467e-06,0.01,0.2,0.1,14410
AUDUSD,2,40,84,91.67,-0.15,-12.6,2.0000000000020002e-05,0.02,0.2,0.1,14410
NZDSEK,2,30,3168,91.57,-0.0073,-23.03,0.0,0.0,0.0209,0.0104,14410
SEKJPY,1,20,71,91.55,-0.0486,-3.45,0.0,0.0,0.0627,0.0627,14410
GBPHKD,2,40,3605,91.54,-0.0198,-71.36,0.0,0.0,0.0255,0.0127,14410
XAGEUR,3,30,1345,91.52,0.0234,31.47,0.0,0.0,0.3458,0.1153,14410
XAUUSD,1,30,6381,91.51,-0.0163,-104.21,0.0,0.0,0.01,0.01,14410
AUDNZD,2,20,210,91.43,0.0067,1.41,0.0,0.0,0.1172,0.0586,14410
AUDNOK,1,30,4592,91.42,-0.0175,-80.24,0.0,0.0,0.0105,0.0105,14410
GBPDKK,2,40,1394,91.39,-0.0249,-34.72,0.0,0.0,0.0308,0.0154,14410
AUDJPY,2,30,534,91.39,-0.0475,-25.34,0.0,0.0,0.1255,0.0627,14410
NOKJPY,2,20,58,91.38,0.0065,0.38,0.0,0.0,0.1255,0.0627,14410
CHFSEK,2,40,4990,91.38,-0.0169,-84.27,0.0,0.0,0.0209,0.0104,14410
CADSGD,1,30,139,91.37,-0.1309,-18.2,0.0,0.0,0.0781,0.0781,14410
EURNOK,1,30,5776,91.29,-0.0179,-103.36,0.0,0.0,0.0105,0.0105,14410
SEKNOK,2,40,652,91.26,-0.0176,-11.48,0.0,0.0,0.0211,0.0105,14410
