symbol,tp_pips,sl_pips,trades,wr,exp_usd,pnl_usd,spread,rt_usd,tp_usd,pip_usd,bars
GBPZAR,2,30,6705,70.63,-0.0458,-306.9,0.0,0.0,0.0124,0.0062,14410
GBPZAR,3,30,6698,70.51,-0.0416,-278.95,0.0,0.0,0.0186,0.0062,14410
EURZAR,1,30,6501,70.27,-0.0508,-330.56,0.0,0.0,0.0062,0.0062,14410
CHFMXN,2,20,5828,70.02,-0.0269,-156.93,0.0,0.0,0.0117,0.0059,14410
GBPMXN,2,20,6742,69.92,-0.0271,-182.45,0.0,0.0,0.0117,0.0059,14410
GBPCZK,3,30,6676,69.37,-0.0338,-225.54,0.0,0.0,0.0143,0.0048,14410
EURZAR,2,30,6410,68.92,-0.0492,-315.1,0.0,0.0,0.0124,0.0062,14410
EURZAR,3,30,6335,68.21,-0.0464,-293.65,0.0,0.0,0.0186,0.0062,14410
EURILS,2,20,4619,67.14,-0.1752,-809.05,0.0,0.0,0.067,0.0335,14410
CHFTRY,2,40,6314,67.07,-0.0248,-156.33,0.0,0.0,0.0042,0.0021,14410
EURILS,3,30,3571,66.98,-0.2644,-944.21,0.0,0.0,0.1005,0.0335,14410
AUDTHB,3,30,6998,62.85,-0.028,-195.69,0.0,0.0,0.0091,0.003,14410
AUDTHB,2,30,6998,62.83,-0.0299,-209.07,0.0,0.0,0.006,0.003,14410
AUDTHB,1,30,6998,62.83,-0.0318,-222.35,0.0,0.0,0.003,0.003,14410
EURTRY,2,40,5667,62.68,-0.0286,-162.21,0.0,0.0,0.0042,0.0021,14410
NZDNOK,2,20,5970,62.03,-0.0669,-399.36,0.0,0.0,0.0211,0.0105,14410
NZDNOK,1,20,5970,62.03,-0.0734,-438.34,0.0,0.0,0.0105,0.0105,14410
AUDZAR,1,20,6625,60.97,-0.0445,-295.04,0.0,0.0,0.0062,0.0062,14410
GBPHUF,2,40,4981,60.91,-0.4562,-2272.26,0.0,0.0,0.0633,0.0316,14410
AUDZAR,2,20,6573,60.17,-0.0418,-275.05,0.0,0.0,0.0124,0.0062,14410
GBPHUF,1,30,5731,59.95,-0.3612,-2069.81,0.0,0.0,0.0316,0.0316,14410
GBPTRY,2,40,7031,58.97,-0.0319,-224.19,0.0,0.0,0.0042,0.0021,14410
CHFZAR,1,20,6776,58.85,-0.0473,-320.36,0.0,0.0,0.0062,0.0062,14410
CHFZAR,2,20,6724,58.16,-0.0446,-299.73,0.0,0.0,0.0124,0.0062,14410
GBPCZK,2,20,7056,58.02,-0.0344,-242.62,0.0,0.0,0.0095,0.0048,14410
GBPCZK,1,20,7077,57.92,-0.0372,-263.58,0.0,0.0,0.0048,0.0048,14410
EURTRY,2,30,5782,56.62,-0.0249,-143.78,0.0,0.0,0.0042,0.0021,14410
EURTRY,1,30,5823,56.62,-0.0261,-151.71,0.0,0.0,0.0021,0.0021,14410
GBPHUF,1,20,5997,56.51,-0.2573,-1543.2,0.0,0.0,0.0316,0.0316,14410
EURZAR,1,20,6693,56.25,-0.0507,-339.05,0.0,0.0,0.0062,0.0062,14410
CHFTRY,1,30,6655,56.06,-0.0264,-175.8,0.0,0.0,0.0021,0.0021,14410
