entry_time,exit_time,side,mode,reason,entry,exit,pnl,r,outcome,adds,risk_pct,hr_step
2026-06-17 20:00:00+00:00,2026-06-17 22:00:00+00:00,buy,range,hw_range,4254.2001953125,4270.944489397321,27.25605857872344,0.2725605857872344,tp,0,100.0,0
2026-06-24 03:00:00+00:00,2026-06-24 05:00:00+00:00,buy,range,hw_range,4078.10009765625,4090.7901018415178,33.760113116093564,0.2652927765730604,tp,0,100.0,0
2026-06-26 16:00:00+00:00,2026-06-26 17:00:00+00:00,sell,range,hw_range,4106.10009765625,4093.0372488839284,42.83865946847548,0.2660519065729,tp,0,100.0,0
2026-07-08 09:00:00+00:00,2026-07-08 11:00:00+00:00,buy,range,hw_range,4066.60009765625,4079.4401332310267,54.183604474784616,0.26579504721858804,tp,0,100.0,0
2026-07-08 11:00:00+00:00,2026-07-08 12:00:00+00:00,buy,range,hw_range,4062.89990234375,4074.9813685825893,68.03969568921718,0.26368046884553736,tp,0,100.0,0
2026-07-16 13:00:00+00:00,2026-07-16 14:00:00+00:00,buy,range,hw_range,3996.300048828125,4005.7029331752233,82.8561752655509,0.2540991477358097,tp,0,100.0,0
2026-07-16 14:00:00+00:00,2026-07-16 15:00:00+00:00,buy,range,hw_range,3993.89990234375,4004.5285051618303,106.08448787894646,0.2594169434274668,tp,0,100.0,0
2026-07-21 06:00:00+00:00,2026-07-21 12:00:00+00:00,sell,range,hw_range,4066.0,4057.2314243861606,128.71363025052608,0.24992025850733474,tp,0,100.0,0
2026-07-28 03:00:00+00:00,2026-07-28 06:00:00+00:00,buy,range,hw_range,4042.300048828125,4049.9971749441966,156.60827705900726,0.2432816354195025,tp,0,100.0,0
2026-07-29 08:00:00+00:00,2026-07-29 09:00:00+00:00,sell,range,hw_range,4103.0,4092.705726841518,205.65099987812025,0.256954318854959,tp,0,100.0,0
2026-07-29 09:00:00+00:00,2026-07-29 10:00:00+00:00,sell,range,hw_range,4096.7998046875,4086.835529436384,257.12738423925066,0.25559592968322026,tp,0,100.0,0
