symbol,tag,trades,win_rate,profit_factor,expectancy_r,net_pnl,max_dd_pct,final_equity,params
EURUSD=X,search:book_optimal,31,35.48,0.372,-0.152,-1186.05,12.21,8813.95,"{'min_rr': 1.0, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 25, 'atr_sl_mult': 2.0, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,7,42.86,0.556,0.029,-177.55,3.25,9822.45,"{'min_rr': 1.0, 'book_min_triggers': 2, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 1.2, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,6,50.0,0.897,0.2,-25.46,1.75,9974.54,"{'min_rr': 1.0, 'book_min_triggers': 2, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 1.2, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,7,42.86,0.556,0.029,-177.55,3.25,9822.45,"{'min_rr': 1.0, 'book_min_triggers': 2, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 1.5, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,6,50.0,0.897,0.2,-25.46,1.75,9974.54,"{'min_rr': 1.0, 'book_min_triggers': 2, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 1.5, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,7,42.86,0.556,0.029,-177.55,3.25,9822.45,"{'min_rr': 1.0, 'book_min_triggers': 2, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 2.0, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,6,50.0,0.897,0.2,-25.46,1.75,9974.54,"{'min_rr': 1.0, 'book_min_triggers': 2, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 2.0, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,9,44.44,0.48,0.022,-271.61,3.25,9728.39,"{'min_rr': 1.0, 'book_min_triggers': 2, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 1.2, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,7,42.86,0.592,0.029,-151.14,1.75,9848.86,"{'min_rr': 1.0, 'book_min_triggers': 2, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 1.2, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,9,44.44,0.48,0.022,-271.61,3.25,9728.39,"{'min_rr': 1.0, 'book_min_triggers': 2, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 1.5, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,7,42.86,0.592,0.029,-151.14,1.75,9848.86,"{'min_rr': 1.0, 'book_min_triggers': 2, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 1.5, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,9,44.44,0.48,0.022,-271.61,3.25,9728.39,"{'min_rr': 1.0, 'book_min_triggers': 2, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 2.0, 'cost_buffer': 1.2}"
